nom,date,cumulative_confirmed_cases,cumulative_suspected_cases,cumulative_suspected_deaths,new_confirmed_cases,new_suspected_cases,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__outflow_20260524,pop_count,pop_density,rt_proxy,rt_proxy_is_imputed,new_suspected_cases_rate,new_confirmed_cases_rate,cumulative_suspected_cases_rate,cumulative_confirmed_cases_rate,prediction,anomaly_score,split
Nizi,2026-05-23,2.0,6.0,2.0,0.0,1.0,0.0,0.932,0.004008,16.33,129696.901351642,671.566862038288,1.0,True,0.7710284436855899,0.0,4.626170662113538,1.5420568873711797,1,0.00028592505415026004,train
Rwampara,2026-05-23,32.0,228.0,69.0,0.0,7.0,0.0,0.0,0.07158,0.0,252324.469993129,378.392262151519,0.9024390243902439,False,2.7742057677523766,0.0,90.3598450067917,12.68208350972515,1,0.08731104438673998,train
Kilo,2026-05-24,1.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,43138.8537156332,107.546199583958,1.0,True,2.3180959016479554,0.0,18.544767213183643,2.3180959016479554,1,0.12590299423052698,train
Nizi,2026-05-24,2.0,6.0,2.0,0.0,1.0,0.0,0.932,0.004008,16.33,129696.901351642,671.566862038288,1.0,True,0.7710284436855899,0.0,4.626170662113538,1.5420568873711797,1,0.00028592505415026004,train
Aru,2026-05-25,1.0,4.0,1.0,0.0,0.0,0.0,0.01857,0.005552,0.61,329667.250619862,339.239633491485,1.0,True,0.0,0.0,1.2133446657133633,0.3033361664283408,1,0.11610054533816849,train
Bunia,2026-05-25,24.0,270.0,55.0,0.0,21.0,0.0,0.0,0.08423,0.0,509059.964558102,4336.1457340514,0.6582278481012658,False,4.125250748844373,0.0,53.03893819942764,4.714572284393569,1,0.12825832001555582,train
Butembo,2026-05-25,3.0,7.0,0.0,0.0,0.0,0.0,0.03058,0.0,0.84,289377.881656445,3648.62216219997,0.0,False,0.0,0.0,2.4189823907518044,1.0367067388936306,1,0.018752533925142867,train
Goma,2026-05-25,1.0,0.0,0.0,0.0,0.0,254.962,0.004881,0.02733,0.14,282838.298423046,8413.39578071933,1.0,True,0.0,0.0,0.0,0.3535589082438486,1,0.00015416111167398938,train
Katwa,2026-05-25,4.0,13.0,0.0,0.0,0.0,0.0,0.05021,0.0,0.96,612242.341814758,7809.37779884317,1.0833333333333333,False,0.0,0.0,2.1233421983632295,0.6533360610348399,1,0.10813325331824708,train
Kilo,2026-05-25,1.0,18.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,43138.8537156332,107.546199583958,1.0,True,23.180959016479555,0.0,41.725726229663195,2.3180959016479554,1,0.09141254009063737,train
Miti Murhesa,2026-05-25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303982.79461199,722.651452069188,1.0,True,0.0,0.0,0.3289659868008059,0.3289659868008059,1,0.11286495546693343,train
Mongbwalu,2026-05-25,19.0,364.0,88.0,0.0,25.0,0.0,0.0,0.03859,0.0,157714.270248931,49.26880991961,2.1,False,15.851450829744719,0.0,230.79712408108313,12.047102630605986,1,0.009473870489240754,train
Nizi,2026-05-25,2.0,9.0,2.0,0.0,3.0,0.0,0.932,0.004008,16.33,129696.901351642,671.566862038288,1.0,True,2.313085331056769,0.0,6.939255993170308,1.5420568873711797,1,0.004379754911267186,train
Nyankunde,2026-05-25,9.0,66.0,15.0,0.0,21.0,0.0,0.0,0.00953,6.8,94004.2441913015,100.872453475923,1.1666666666666667,False,22.3394168855444,0.0,70.20959592599668,9.574035808090457,1,0.09440422736201337,train
Rwampara,2026-05-25,32.0,240.0,75.0,0.0,12.0,0.0,0.0,0.07158,0.0,252324.469993129,378.392262151519,0.3884297520661157,False,4.755781316146932,0.0,95.11562632293864,12.68208350972515,1,0.03791291595206148,train
Aru,2026-05-26,1.0,4.0,1.0,0.0,0.0,0.0,0.01857,0.005552,0.61,329667.250619862,339.239633491485,1.0,True,0.0,0.0,1.2133446657133633,0.3033361664283408,1,0.11610054533816849,test
Bambu,2026-05-26,0.0,10.0,2.0,0.0,4.0,0.0,0.8123,0.003188,11.98,136150.702150578,293.755113499808,3.0,False,2.937920948491428,0.0,7.344802371228569,0.0,-1,-0.10479348453191206,test
Bunia,2026-05-26,36.0,279.0,55.0,12.0,0.0,0.0,0.0,0.08423,0.0,509059.964558102,4336.1457340514,0.3132530120481928,False,0.0,2.3572861421967843,54.80690280607523,7.071858426590353,1,0.10601539393661574,test
Butembo,2026-05-26,3.0,10.0,0.0,0.0,3.0,0.0,0.03058,0.0,0.84,289377.881656445,3648.62216219997,0.5,False,1.0367067388936306,0.0,3.4556891296454344,1.0367067388936306,1,0.09204192348583118,test
Damas,2026-05-26,0.0,4.0,2.0,0.0,4.0,0.0,0.1966,0.001714,3.32,94819.6207671287,53.1851080273012,1.0,True,4.218536171773731,0.0,4.218536171773731,0.0,1,0.12298586215379559,test
Fataki,2026-05-26,0.0,1.0,1.0,0.0,1.0,0.0,0.03742,0.001754,1.35,158031.619593787,374.843916988277,1.0,True,0.6327847569812003,0.0,0.6327847569812003,0.0,1,0.11553809663837922,test
Goma,2026-05-26,1.0,0.0,0.0,0.0,0.0,9.047,0.004881,0.02733,0.14,282838.298423046,8413.39578071933,1.0,True,0.0,0.0,0.0,0.3535589082438486,1,0.11940943123341818,test
Kalunguta,2026-05-26,1.0,2.0,0.0,0.0,2.0,0.0,0.008103,0.5234,0.55,191731.550595345,217.291453102909,1.0,True,1.0431251370939247,0.0,1.0431251370939247,0.5215625685469624,-1,-1.2829067616597571,test
Karisimbi,2026-05-26,0.0,5.0,0.0,0.0,5.0,0.0,0.004168,0.02799,0.13,403400.688067297,8149.33562491542,1.0,True,1.2394624371998788,0.0,1.2394624371998788,0.0,1,0.11244253441081065,test
Katwa,2026-05-26,4.0,13.0,0.0,0.0,0.0,9.291,0.05021,0.0,0.96,612242.341814758,7809.37779884317,1.0,True,0.0,0.0,2.1233421983632295,0.6533360610348399,1,0.1177310303821344,test
Kilo,2026-05-26,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43138.8537156332,107.546199583958,2.4,False,0.0,0.0,41.725726229663195,2.3180959016479554,1,0.06440480306873986,test
Kyondo,2026-05-26,1.0,3.0,0.0,1.0,3.0,0.0,0.006672,0.332,0.25,270343.895203815,287.209696136707,1.0,True,1.109697704746863,0.369899234915621,1.109697704746863,0.369899234915621,-1,-0.5737454596975657,test
Mambasa,2026-05-26,0.0,5.0,1.0,0.0,5.0,0.0,0.04492,0.08711,0.86,150807.291095497,9.38305119840287,1.0,True,3.315489565311406,0.0,3.315489565311406,0.0,1,0.10727898359428978,test
Miti Murhesa,2026-05-26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303982.79461199,722.651452069188,1.0,True,0.0,0.0,0.3289659868008059,0.3289659868008059,1,0.11286495546693343,test
Mongbwalu,2026-05-26,20.0,375.0,88.0,1.0,11.0,0.0,0.0,0.03859,0.0,157714.270248931,49.26880991961,0.972972972972973,False,6.974638365087676,0.6340580331897888,237.77176244617078,12.681160663795776,1,0.04702347036384835,test
Nizi,2026-05-26,2.0,15.0,2.0,0.0,6.0,0.0,0.932,0.004008,16.33,129696.901351642,671.566862038288,2.5,False,4.626170662113538,0.0,11.565426655283847,1.5420568873711797,-1,-0.06164296088970156,test
Nyankunde,2026-05-26,10.0,70.0,15.0,1.0,4.0,0.0,0.0,0.00953,6.8,94004.2441913015,100.872453475923,0.8064516129032258,False,4.2551270258179805,1.0637817564544951,74.46472295181466,10.637817564544953,1,0.1285697600906921,test
Oicha,2026-05-26,1.0,8.0,0.0,0.0,8.0,0.0,0.01479,0.4433,0.8,274997.934806786,217.407676331775,1.0,True,2.90911275592699,0.0,2.90911275592699,0.3636390944908737,-1,-1.0060637835305828,test
Rimba,2026-05-26,0.0,14.0,4.0,0.0,14.0,0.0,0.02853,0.002064,1.0,222281.837981453,475.541098374732,1.0,True,6.298310346510698,0.0,6.298310346510698,0.0,1,0.12974176370252777,test
Rwampara,2026-05-26,33.0,240.0,75.0,1.0,0.0,0.0,0.0,0.07158,0.0,252324.469993129,378.392262151519,0.2235294117647059,False,0.0,0.3963151096789109,95.11562632293864,13.07839861940406,1,0.012295000850597315,test
Bambu,2026-05-29,2.0,14.0,3.0,0.0,8.0,0.0,0.8123,0.003188,11.98,136150.702150578,293.755113499808,3.0,False,5.875841896982856,0.0,10.282723319719997,1.468960474245714,-1,-0.09601004833002413,test
Bunia,2026-05-29,80.0,268.0,57.0,21.0,19.0,0.0,0.0,0.08423,0.0,509059.964558102,4336.1457340514,0.2692307692307692,False,3.7323697251449084,4.125250748844373,52.64605717572818,15.715240947978561,1,0.013347213099795807,test
Damas,2026-05-29,1.0,1.0,0.0,0.0,1.0,0.0,0.1966,0.001714,3.32,94819.6207671287,53.1851080273012,1.0,True,1.0546340429434327,0.0,1.0546340429434327,1.0546340429434327,1,0.11734509006729632,test
Mongbwalu,2026-05-29,47.0,346.0,88.0,8.0,7.0,0.0,0.0,0.03859,0.0,157714.270248931,49.26880991961,0.42857142857142855,False,4.438406232328521,5.0724642655183105,219.3840794836669,29.800727559920073,-1,-0.3030770627665271,test
Nyankunde,2026-05-29,19.0,52.0,12.0,2.0,7.0,0.0,0.0,0.00953,6.8,94004.2441913015,100.872453475923,0.39285714285714285,False,7.446472295181466,2.1275635129089903,55.31665133563375,20.21185337263541,-1,-0.033258305843946845,test
Rwampara,2026-05-29,65.0,241.0,71.0,12.0,13.0,0.0,0.0,0.07158,0.0,252324.469993129,378.392262151519,0.2765957446808511,False,5.152096425825842,4.755781316146932,95.51194143261755,25.760482129129212,-1,-0.18082096542196346,test
