nom,date,contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,national_cumulative_confirmed_cases,national_cumulative_confirmed_deaths,national_cumulative_recovered_cases,national_cumulative_suspected_cases,national_cumulative_suspected_deaths,national_suspected_cases_in_isolation,national_suspected_cases_under_investigation,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260524,pop_count,pop_density
Bunia,2026-05-23,71.0,24.0,2.0,164.0,404.0,249.0,48.0,5.0,50.0,41.0,,,,,,,,1.0,22.0,43.0,9.0,3.0,6.0,22.0,6.0,3256.0,3360.0,104.0,104.0,3360.0,3256.0,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
Bunia,2026-05-24,,24.0,2.0,,404.0,249.0,48.0,4.0,53.0,44.0,,,,,,,,0.0,,0.0,9.0,3.0,6.0,,0.0,,,,,,,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
Bunia,2026-05-25,,24.0,2.0,,404.0,270.0,55.0,,,,,,,,,,,0.0,,0.0,,,,21.0,7.0,,,,,,,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
Bunia,2026-05-26,,36.0,2.0,,404.0,279.0,55.0,,,,,,,,,,,12.0,,0.0,,,,0.0,0.0,,,,,,,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
Bunia,2026-05-27,,37.0,2.0,,404.0,249.0,48.0,3.0,,,,,,,,,,1.0,,0.0,14.0,0.0,2.0,,,,,,,,,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
Bunia,2026-05-28,,80.0,8.0,,404.0,268.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
Bunia,2026-05-29,,80.0,8.0,,404.0,268.0,57.0,1.0,17.0,18.0,,,,,,,,21.0,,476.0,,0.0,,19.0,9.0,,,,,,,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
Butembo,2026-05-18,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,0.0,0.03058,0.03324,,,0.35,0.5,0.64,0.79,0.84,289377.881656445,3648.62216219997
Butembo,2026-05-19,,1.0,,,,1.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.03058,0.03324,,,0.35,0.5,0.64,0.79,0.84,289377.881656445,3648.62216219997
Butembo,2026-05-20,,1.0,,,,7.0,0.0,,,,,,,,,,,0.0,,,,,,6.0,0.0,,,,,,,0.0,0.03058,0.03324,,,0.35,0.5,0.64,0.79,0.84,289377.881656445,3648.62216219997
Butembo,2026-05-21,,2.0,0.0,,,7.0,0.0,,,,,,,,,,,1.0,,,,,,0.0,0.0,,,,,,,0.0,0.03058,0.03324,,,0.35,0.5,0.64,0.79,0.84,289377.881656445,3648.62216219997
Butembo,2026-05-22,,2.0,0.0,,,7.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,0.0,0.03058,0.03324,,,0.35,0.5,0.64,0.79,0.84,289377.881656445,3648.62216219997
