nom,date,cumulative_confirmed_cases,cumulative_suspected_cases,cumulative_suspected_deaths,new_confirmed_cases,new_suspected_cases,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__outflow_20260524,pop_count,pop_density,rt_proxy,rt_proxy_is_imputed
Nizi,2026-05-22,2.0,5.0,1.0,1.0,4.0,26.115,0.932,0.004008,16.33,129696.901351642,671.566862038288,1.0,True
Nizi,2026-05-23,2.0,6.0,2.0,0.0,1.0,26.115,0.932,0.004008,16.33,129696.901351642,671.566862038288,1.0,True
Nizi,2026-05-24,2.0,6.0,2.0,0.0,1.0,26.115,0.932,0.004008,16.33,129696.901351642,671.566862038288,1.0,True
Nizi,2026-05-25,2.0,9.0,2.0,0.0,3.0,26.115,0.932,0.004008,16.33,129696.901351642,671.566862038288,1.0,True
Nizi,2026-05-26,2.0,15.0,2.0,0.0,6.0,26.115,0.932,0.004008,16.33,129696.901351642,671.566862038288,2.5,False
Nyankunde,2026-05-18,4.0,14.0,1.0,4.0,14.0,33.084,0.0,0.00953,6.8,94004.2441913015,100.872453475923,1.0,True
Nyankunde,2026-05-19,4.0,19.0,5.0,0.0,5.0,33.084,0.0,0.00953,6.8,94004.2441913015,100.872453475923,1.0,True
Nyankunde,2026-05-20,5.0,28.0,5.0,1.0,9.0,33.084,0.0,0.00953,6.8,94004.2441913015,100.872453475923,1.0,True
Nyankunde,2026-05-21,11.0,38.0,6.0,2.0,9.0,33.084,0.0,0.00953,6.8,94004.2441913015,100.872453475923,1.0,True
Nyankunde,2026-05-22,9.0,45.0,8.0,0.0,7.0,33.084,0.0,0.00953,6.8,94004.2441913015,100.872453475923,1.0,True
Nyankunde,2026-05-25,9.0,66.0,15.0,0.0,21.0,33.084,0.0,0.00953,6.8,94004.2441913015,100.872453475923,1.1666666666666667,False
Nyankunde,2026-05-26,10.0,70.0,15.0,1.0,4.0,33.084,0.0,0.00953,6.8,94004.2441913015,100.872453475923,0.8064516129032258,False
Nyankunde,2026-05-29,19.0,52.0,12.0,2.0,7.0,33.084,0.0,0.00953,6.8,94004.2441913015,100.872453475923,0.39285714285714285,False
Oicha,2026-05-26,1.0,8.0,0.0,0.0,8.0,53.126,0.01479,0.4433,0.8,274997.934806786,217.407676331775,1.0,True
Rimba,2026-05-26,0.0,14.0,4.0,0.0,14.0,60.821,0.02853,0.002064,1.0,222281.837981453,475.541098374732,1.0,True
Rwampara,2026-05-18,19.0,136.0,38.0,6.0,64.0,33.084,0.0,0.07158,0.0,252324.469993129,378.392262151519,1.0,True
Rwampara,2026-05-19,25.0,154.0,43.0,4.0,18.0,33.084,0.0,0.07158,0.0,252324.469993129,378.392262151519,1.0,True
Rwampara,2026-05-20,24.0,179.0,44.0,3.0,25.0,33.084,0.0,0.07158,0.0,252324.469993129,378.392262151519,1.0,True
Rwampara,2026-05-21,31.0,193.0,51.0,7.0,14.0,33.084,0.0,0.07158,0.0,252324.469993129,378.392262151519,1.0,True
Rwampara,2026-05-22,32.0,221.0,63.0,1.0,28.0,33.084,0.0,0.07158,0.0,252324.469993129,378.392262151519,1.328125,False
Rwampara,2026-05-23,32.0,228.0,69.0,0.0,7.0,33.084,0.0,0.07158,0.0,252324.469993129,378.392262151519,0.9024390243902439,False
Rwampara,2026-05-25,32.0,240.0,75.0,0.0,12.0,33.084,0.0,0.07158,0.0,252324.469993129,378.392262151519,0.3884297520661157,False
Rwampara,2026-05-26,33.0,240.0,75.0,1.0,0.0,33.084,0.0,0.07158,0.0,252324.469993129,378.392262151519,0.2235294117647059,False
Rwampara,2026-05-29,65.0,241.0,71.0,12.0,13.0,33.084,0.0,0.07158,0.0,252324.469993129,378.392262151519,0.2765957446808511,False
