nom,date,min_minutes_to_active_zone
Kamalondo,2026-05-15,2214.854
Tshamilemba,2026-05-15,2198.68
Pweto,2026-05-15,1626.498
Lukafu,2026-05-15,2028.142
Mufunga Sampwe,2026-05-15,1912.465
Kilwa,2026-05-15,1773.414
Kapolowe,2026-05-15,2114.741
Panda,2026-05-15,2127.864
Kashobwe,2026-05-15,1893.918
Kampemba,2026-05-15,2237.907
Ruashi,2026-05-15,2240.144
Bena Tshadi,2026-05-15,2046.872
Yangala,2026-05-15,1914.043
Ilebo,2026-05-15,2284.044
Luebo,2026-05-15,2080.234
Bena Leka,2026-05-15,2070.604
Muetshi,2026-05-15,1981.0
Tshikula,2026-05-15,1863.404
Dibaya,2026-05-15,1854.157
Kalomba,2026-05-15,2182.324
Tshibala,2026-05-15,2136.242
Mushenge,2026-05-15,2229.344
Bulape,2026-05-15,2206.231
Masuika,2026-05-15,2029.192
Luiza,2026-05-15,1971.4
Katoka,2026-05-15,1933.544
Ndesha,2026-05-15,1928.681
Tshikaji,2026-05-15,1925.606
Bilomba,2026-05-15,2024.093
Ndekesha,2026-05-15,2036.43
Bunkonde,2026-05-15,1908.247
Mikalayi,2026-05-15,1972.366
Luambo,2026-05-15,2203.098
Katende,2026-05-15,1883.326
Ndjoko Mpunda,2026-05-15,2147.456
Lubondaie,2026-05-15,1896.449
Kakenge,2026-05-15,2171.403
Rwampara,2026-05-15,41.63
Bunia,2026-05-15,41.63
Jiba,2026-05-15,112.036
Linga,2026-05-15,113.071
Mangala,2026-05-15,79.318
Damas,2026-05-15,109.423
Fataki,2026-05-15,81.236
Drodro,2026-05-15,58.572
Tchomia,2026-05-15,71.54
Rethy,2026-05-15,122.129
Nyankunde,2026-05-15,33.084
Nizi,2026-05-15,30.598
Bambu,2026-05-15,41.318
Kilo,2026-05-15,37.958
Mongbwalu,2026-05-15,99.224
Komanda,2026-05-15,95.211
Gety,2026-05-15,54.867
Boga,2026-05-15,100.992
Nia Nia,2026-05-15,289.884
Mandima,2026-05-15,229.433
Lolwa,2026-05-15,134.923
Lita,2026-05-15,26.948
Boma Mangbetu,2026-05-15,468.798
Isiro,2026-05-15,543.35
Wamba,2026-05-15,474.84
Doruma,2026-05-15,742.529
Pawa,2026-05-15,506.82
